2018-01-19 19:38:18:952	00 00 00 01 00 d3 ba 9d 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:068	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:069	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:151	00 00 00 03 00 d3 bb 65 00 00 00 00 00 00 00 
2018-01-19 19:38:19:153	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:154	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:156	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:157	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:159	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:161	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:162	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:164	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:165	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:167	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:168	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:169	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:251	00 00 00 04 00 d3 bb c9 00 00 00 00 00 00 00 
2018-01-19 19:38:19:253	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:254	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:256	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:257	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:259	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:261	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:262	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:264	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:265	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:267	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:268	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:269	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:351	00 00 00 05 00 d3 bc 2d 00 00 00 00 00 00 00 
2018-01-19 19:38:19:353	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:354	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:356	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:357	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:359	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:361	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:362	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:364	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:365	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:367	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:368	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:369	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:451	00 00 00 06 00 d3 bc 91 00 00 00 00 00 00 00 
2018-01-19 19:38:19:453	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:454	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:456	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:457	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:459	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:461	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:462	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:464	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:465	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:467	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:468	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:469	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:551	00 00 00 07 00 d3 bc f5 00 00 00 00 00 00 00 
2018-01-19 19:38:19:553	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:554	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:556	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:557	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:559	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:561	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:562	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:564	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:565	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:567	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:568	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:569	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:651	00 00 00 08 00 d3 bd 59 00 00 00 00 00 00 00 
2018-01-19 19:38:19:653	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:654	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:656	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:657	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:659	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:661	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:662	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:664	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:665	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:667	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:668	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:669	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:751	00 00 00 09 00 d3 bd bd 00 00 00 00 00 00 00 
2018-01-19 19:38:19:753	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:754	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:756	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:757	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:759	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:761	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:762	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:764	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:765	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:767	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:768	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:769	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:851	00 00 00 0a 00 d3 be 21 00 00 00 00 00 00 00 
2018-01-19 19:38:19:853	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:854	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:856	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:857	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:859	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:861	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:862	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:864	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:865	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:867	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:868	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:869	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:951	00 00 00 0b 00 d3 be 85 00 00 00 00 00 00 00 
2018-01-19 19:38:19:953	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:954	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:956	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:957	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:959	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:961	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:962	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:964	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:965	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:967	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:968	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:969	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:605	00 00 00 01 00 d3 c4 fa 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:606	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:607	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:609	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:611	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:612	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:614	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:615	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:617	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:618	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:620	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:621	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:622	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:704	00 00 00 02 00 d3 c5 5e 00 00 00 00 00 00 00 
2018-01-19 19:38:21:706	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:707	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:709	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:710	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:712	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:714	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:715	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:717	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:718	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:720	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:721	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:722	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:804	00 00 00 03 00 d3 c5 c2 00 00 00 00 00 00 00 
2018-01-19 19:38:21:806	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:807	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:809	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:810	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:812	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:814	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:815	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:817	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:818	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:820	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:821	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:822	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:904	00 00 00 04 00 d3 c6 26 00 00 00 00 00 00 00 
2018-01-19 19:38:21:906	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:907	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:909	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:910	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:912	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:914	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:915	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:917	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:918	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:920	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:921	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:922	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:004	00 00 00 05 00 d3 c6 8a 00 00 00 00 00 00 00 
2018-01-19 19:38:22:006	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:007	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:009	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:010	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:012	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:014	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:015	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:017	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:018	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:020	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:021	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:22:022	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:055	00 00 00 01 00 d3 ca a4 00 00 00 00 00 00 00 
2018-01-19 19:38:23:056	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:057	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:059	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:061	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:062	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:064	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:065	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:067	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:068	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:070	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:071	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:072	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:154	00 00 00 02 00 d3 cb 08 00 00 00 00 00 00 00 
2018-01-19 19:38:23:156	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:157	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:159	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:160	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:162	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:164	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:165	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:167	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:168	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:170	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:171	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:172	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:254	00 00 00 03 00 d3 cb 6c 00 00 00 00 00 00 00 
2018-01-19 19:38:23:256	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:257	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:259	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:260	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:262	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:264	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:265	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:267	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:268	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:270	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:271	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:272	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:354	00 00 00 04 00 d3 cb d0 00 00 00 00 00 00 00 
2018-01-19 19:38:23:356	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:357	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:359	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:360	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:362	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:364	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:365	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:367	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:368	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:370	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:371	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:372	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:454	00 00 00 05 00 d3 cc 34 00 00 00 00 00 00 00 
2018-01-19 19:38:23:456	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:457	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:459	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:460	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:462	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:464	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:465	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:467	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:468	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:470	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:471	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:472	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:554	00 00 00 06 00 d3 cc 98 00 00 00 00 00 00 00 
2018-01-19 19:38:23:556	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:557	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:559	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:560	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:562	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:564	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:565	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:567	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:568	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:570	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:571	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:572	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:654	00 00 00 07 00 d3 cc fc 00 00 00 00 00 00 00 
2018-01-19 19:38:23:656	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:657	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:659	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:660	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:662	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:664	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:665	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:667	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:668	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
